speech,class
"In comparison to cases of violence in Italy made by foreigners, which are 15% of the total, Italians have the 80% at home and proudly the world record as sex tourists in poor countries. The arrogance of money does not exonerate them, that's double violence.",1
Muslims rape our women and must be neutered.,0
"Unfortunately, many Italians commit rapes too.",1
I don't want to have anything to do with the Islamists! They are murderers and terrorists and we must fight them!,0
The statistics state that the rapists are almost always Italian.,1
Violence against women is a problem that does not refer to religion! What about all cases of violence committed by the Italians?,1
They want to impose the veil on all of us.,0
Muslims rape our women and must be neutered.,0
The Muslims? Which? All? This statement is madness.,1
"The issue of the Islamic veil is complex, it is not a religious prescription but cultural. Islam has within itself many different positions on the subject.",1
Muslims rape our women and must be neutered.,0
"Statistics show that over 80% of rapes on Italian women was committed by an Italian. Foreign rapists are 15.1%. Insert links, for example http://www.infodata.ilsole24ore.com/2018/07/25/la-violenza-le-denunce-gli-stupri-italia-la-statistica-della-paura/?refresh_ce=1.",1
"Castration? Do you think it is a punishment to propose in a society that defines itself modern and respects the rights? To me, it seems a medieval punishment.",1
Muslims rape our women and must be neutered.,0
"These islamic beasts rape their and our women, after all their religion allows it to them!",0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"Men's violence against women is a problem, but not connected in any way to religion or colour of skin. As not all men are rapists. No generalization is ever 100% true.",1
"Gender-based violence is not an Islamic problem, it's a social problem of all.",1
Being Muslim is not synonymous of terrorist.,1
"They are beasts, they keep their women at home and under the veil, then they go out and rape ours.",0
Muslims rape our women and must be neutered.,0
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
They want to impose the veil on all of us.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"I see that is increasingly widespread a climate of fear against Muslims, even the media do not help to distinguish between the correct and mild faith that the majority of Muslims profess, the speculations of politicians, and the infamous use of the manipulators of Islam, that cover in blood the Middle East and North Africa. But Islam is not terrorism.",1
Muslims rape our women and must be neutered.,0
Crime does not depend on nationality and religion.,1
"A friend of mine married a Muslim man. He is always so sweet, takes her hand across the road, he opens her the door when entering a room. Gestures that I hardly see in all men. He will not be better than others because he's a Muslim, what I'm certain about is that he is not even worse because he's a Muslim. Let's stop identifying evil in such a banal way.",1
Muslims rape our women and must be neutered.,0
"Terrorism is not a manifestation of Islam, but that is a religion of peace.",1
"So are we all mobsters, including you and I?",1
"Hi, the Muslim religion does not admit in its instructions so atrocious acts. Those who act in this way go against their faith, I would never equate criminals with everyone else who practice their religion peacefully.",1
"The vast majority of Muslim women living in Europe wear the veil voluntarily, respecting the religious beliefs of Islam, no one imposes it to them! There is no intention to convert to Islam Italian women.",1
Muslims rape our women and must be neutered.,0
"Not all Muslims commit such terrible crimes, we must respect those that want to integrate normally doing nothing wrong.",1
"Hi, even if I share any disapproval against those who commit acts of such atrocities, I invite you to reflect on the fact that in such cases it is necessary to go beyond any faith or nationality. There is no religion that admits such acts. Those who think that they can subjugate women and commit violence on them, in the name of an alleged faith, act as criminals, not as religious.",1
"These islamic beasts rape their and our women, after all their religion allows it to them!",0
"Of course it's a lie, a few cases are not the rule.",1
"Our women mostly suffer abuses especially in the home, in some cases from childhood by a family member.",1
Muslims are all terrorists.,0
"To belong to the Muslim religion does not mean being criminals, do not come across in these dangerous clichés.",1
Muslims rape our women and must be neutered.,0
"Women do not need protection from violence because they belong to a specific population, they need protection in general.",1
